mean_score,total_steps,std_score,max_score,min_score
-13.018646240234377,324,0.0,-13.018646240234377,-13.018646240234377
-10.478727340698242,376,0.0,-10.478727340698242,-10.478727340698242
-17.839914321899414,684,0.0,-17.839914321899414,-17.839914321899414
-9.564162254333496,684,0.0,-9.564162254333496,-9.564162254333496
-3.846820831298828,928,0.0,-3.846820831298828,-3.846820831298828
-10.187986373901367,968,0.0,-10.187986373901367,-10.187986373901367
-18.100318908691406,1000,0.0,-18.100318908691406,-18.100318908691406
-11.257429122924805,1180,0.0,-11.257429122924805,-11.257429122924805
-18.2673454284668,1220,0.0,-18.2673454284668,-18.2673454284668
-4.993659019470215,1444,0.0,-4.993659019470215,-4.993659019470215
-21.738061904907227,1596,0.0,-21.738061904907227,-21.738061904907227
-20.81704330444336,1632,0.0,-20.81704330444336,-20.81704330444336
-8.707818984985352,1904,0.0,-8.707818984985352,-8.707818984985352
-12.541532516479492,1972,0.0,-12.541532516479492,-12.541532516479492
-15.130443572998049,1976,0.0,-15.130443572998049,-15.130443572998049
-14.22126293182373,2116,0.0,-14.22126293182373,-14.22126293182373
-12.400667190551758,2416,0.0,-12.400667190551758,-12.400667190551758
-9.040413856506348,2536,0.0,-9.040413856506348,-9.040413856506348
-12.912027359008787,2668,0.0,-12.912027359008787,-12.912027359008787
-15.429426193237305,2812,0.0,-15.429426193237305,-15.429426193237305
-12.460039138793944,2912,0.0,-12.460039138793944,-12.460039138793944
-17.58445167541504,3024,0.0,-17.58445167541504,-17.58445167541504
-9.576465606689451,3188,0.0,-9.576465606689451,-9.576465606689451
-11.64128875732422,3428,0.0,-11.64128875732422,-11.64128875732422
-16.213134765625,3432,0.0,-16.213134765625,-16.213134765625
-14.005647659301758,3804,0.0,-14.005647659301758,-14.005647659301758
-7.495550155639648,3928,0.0,-7.495550155639648,-7.495550155639648
-14.670412063598633,3928,0.0,-14.670412063598633,-14.670412063598633
-11.08290672302246,4140,0.0,-11.08290672302246,-11.08290672302246
-11.466642379760742,4260,0.0,-11.466642379760742,-11.466642379760742
-8.305551528930664,4456,0.0,-8.305551528930664,-8.305551528930664
-14.76302719116211,4656,0.0,-14.76302719116211,-14.76302719116211
-0.7988934516906738,4876,0.0,-0.7988934516906738,-0.7988934516906738
-11.630475997924805,5004,0.0,-11.630475997924805,-11.630475997924805
-9.314249038696287,5036,0.0,-9.314249038696287,-9.314249038696287
-9.284093856811523,5228,0.0,-9.284093856811523,-9.284093856811523
-12.669677734375,5352,0.0,-12.669677734375,-12.669677734375
-14.139358520507812,5352,0.0,-14.139358520507812,-14.139358520507812
-10.515643119812012,5520,0.0,-10.515643119812012,-10.515643119812012
-9.288518905639648,5708,0.0,-9.288518905639648,-9.288518905639648
-15.211280822753906,5908,0.0,-15.211280822753906,-15.211280822753906
-11.174654006958008,5912,0.0,-11.174654006958008,-11.174654006958008
-17.083934783935547,6184,0.0,-17.083934783935547,-17.083934783935547
-13.73862075805664,6308,0.0,-13.73862075805664,-13.73862075805664
-16.50385284423828,6472,0.0,-16.50385284423828,-16.50385284423828
-1.5407867431640625,6856,0.0,-1.5407867431640625,-1.5407867431640625
-11.39700698852539,6876,0.0,-11.39700698852539,-11.39700698852539
-9.098066329956056,7000,0.0,-9.098066329956056,-9.098066329956056
-14.012605667114258,7252,0.0,-14.012605667114258,-14.012605667114258
-10.256211280822754,7252,0.0,-10.256211280822754,-10.256211280822754
-11.670942306518556,7300,0.0,-11.670942306518556,-11.670942306518556
-7.088188648223877,7580,0.0,-7.088188648223877,-7.088188648223877
-9.276394844055176,7616,0.0,-9.276394844055176,-9.276394844055176
-10.210160255432127,7660,0.0,-10.210160255432127,-10.210160255432127
-14.99814224243164,7764,0.0,-14.99814224243164,-14.99814224243164
-8.534363746643066,7852,0.0,-8.534363746643066,-8.534363746643066
-14.31565284729004,7976,0.0,-14.31565284729004,-14.31565284729004
-6.913687705993652,7992,0.0,-6.913687705993652,-6.913687705993652
-13.916582107543944,8104,0.0,-13.916582107543944,-13.916582107543944
-7.928134441375732,8128,0.0,-7.928134441375732,-7.928134441375732
-8.601926803588867,8340,0.0,-8.601926803588867,-8.601926803588867
-14.978442192077637,8532,0.0,-14.978442192077637,-14.978442192077637
-15.55148696899414,8940,0.0,-15.55148696899414,-15.55148696899414
-8.761126518249512,9100,0.0,-8.761126518249512,-8.761126518249512
-16.020923614501953,9176,0.0,-16.020923614501953,-16.020923614501953
-4.5321455001831055,9784,0.0,-4.5321455001831055,-4.5321455001831055
-5.537309169769287,10028,0.0,-5.537309169769287,-5.537309169769287
-18.225793838500977,10296,0.0,-18.225793838500977,-18.225793838500977
-12.449668884277344,10692,0.0,-12.449668884277344,-12.449668884277344
-12.718219757080078,10720,0.0,-12.718219757080078,-12.718219757080078
-10.522000312805176,10956,0.0,-10.522000312805176,-10.522000312805176
-9.879422187805176,11036,0.0,-9.879422187805176,-9.879422187805176
-14.33475112915039,11240,0.0,-14.33475112915039,-14.33475112915039
-15.44748878479004,11616,0.0,-15.44748878479004,-15.44748878479004
-15.035721778869627,11676,0.0,-15.035721778869627,-15.035721778869627
-13.296342849731444,11684,0.0,-13.296342849731444,-13.296342849731444
-10.525547981262209,11912,0.0,-10.525547981262209,-10.525547981262209
-9.760231018066406,11960,0.0,-9.760231018066406,-9.760231018066406
-15.90240478515625,12164,0.0,-15.90240478515625,-15.90240478515625
-15.776147842407228,12220,0.0,-15.776147842407228,-15.776147842407228
-14.25173282623291,12228,0.0,-14.25173282623291,-14.25173282623291
-13.26374626159668,12660,0.0,-13.26374626159668,-13.26374626159668
-13.64990234375,13064,0.0,-13.64990234375,-13.64990234375
-14.961359024047852,13356,0.0,-14.961359024047852,-14.961359024047852
-10.234419822692873,13400,0.0,-10.234419822692873,-10.234419822692873
-8.480009078979492,13452,0.0,-8.480009078979492,-8.480009078979492
-7.819399833679199,13528,0.0,-7.819399833679199,-7.819399833679199
-12.350732803344728,13680,0.0,-12.350732803344728,-12.350732803344728
-14.640135765075684,14092,0.0,-14.640135765075684,-14.640135765075684
-13.381793975830078,14184,0.0,-13.381793975830078,-13.381793975830078
-14.516176223754885,14284,0.0,-14.516176223754885,-14.516176223754885
-17.217212677001953,14616,0.0,-17.217212677001953,-17.217212677001953
-9.99992561340332,14836,0.0,-9.99992561340332,-9.99992561340332
-11.701457977294922,14880,0.0,-11.701457977294922,-11.701457977294922
-9.280746459960938,14920,0.0,-9.280746459960938,-9.280746459960938
-9.627256393432615,15136,0.0,-9.627256393432615,-9.627256393432615
-9.420283317565918,15260,0.0,-9.420283317565918,-9.420283317565918
-13.4920654296875,15400,0.0,-13.4920654296875,-13.4920654296875
-10.686119079589844,15652,0.0,-10.686119079589844,-10.686119079589844
-10.077560424804688,15948,0.0,-10.077560424804688,-10.077560424804688
-13.92564582824707,16228,0.0,-13.92564582824707,-13.92564582824707
-13.047969818115234,16352,0.0,-13.047969818115234,-13.047969818115234
-5.62241268157959,16452,0.0,-5.62241268157959,-5.62241268157959
-10.096395492553713,16764,0.0,-10.096395492553713,-10.096395492553713
-10.045995712280272,16880,0.0,-10.045995712280272,-10.045995712280272
-12.569475173950195,17508,0.0,-12.569475173950195,-12.569475173950195
-11.169954299926758,17732,0.0,-11.169954299926758,-11.169954299926758
-19.405839920043945,17868,0.0,-19.405839920043945,-19.405839920043945
-14.714824676513672,17976,0.0,-14.714824676513672,-14.714824676513672
-10.754966735839844,18180,0.0,-10.754966735839844,-10.754966735839844
-10.995611190795898,18480,0.0,-10.995611190795898,-10.995611190795898
-13.482449531555176,18796,0.0,-13.482449531555176,-13.482449531555176
-8.733796119689941,18924,0.0,-8.733796119689941,-8.733796119689941
-15.246549606323242,19036,0.0,-15.246549606323242,-15.246549606323242
-0.7083525657653809,19384,0.0,-0.7083525657653809,-0.7083525657653809
-13.291183471679688,19604,0.0,-13.291183471679688,-13.291183471679688
-12.761970520019531,19608,0.0,-12.761970520019531,-12.761970520019531
-10.609516143798828,19844,0.0,-10.609516143798828,-10.609516143798828
-11.343375205993652,19892,0.0,-11.343375205993652,-11.343375205993652
-9.825934410095217,20124,0.0,-9.825934410095217,-9.825934410095217
-4.397480487823486,20276,0.0,-4.397480487823486,-4.397480487823486
-13.303674697875977,20504,0.0,-13.303674697875977,-13.303674697875977
-9.7280912399292,20664,0.0,-9.7280912399292,-9.7280912399292
-13.640501022338867,20728,0.0,-13.640501022338867,-13.640501022338867
-13.444381713867188,20748,0.0,-13.444381713867188,-13.444381713867188
-13.129484176635742,21080,0.0,-13.129484176635742,-13.129484176635742
-14.046707153320312,21444,0.0,-14.046707153320312,-14.046707153320312
-11.090213775634766,21460,0.0,-11.090213775634766,-11.090213775634766
-15.408153533935549,21776,0.0,-15.408153533935549,-15.408153533935549
-13.713275909423828,21808,0.0,-13.713275909423828,-13.713275909423828
-16.699909210205078,21848,0.0,-16.699909210205078,-16.699909210205078
-12.68096160888672,22096,0.0,-12.68096160888672,-12.68096160888672
-11.480762481689451,22432,0.0,-11.480762481689451,-11.480762481689451
-11.822656631469728,22736,0.0,-11.822656631469728,-11.822656631469728
-13.444520950317385,22756,0.0,-13.444520950317385,-13.444520950317385
-6.552810192108154,22952,0.0,-6.552810192108154,-6.552810192108154
-8.240962028503418,23140,0.0,-8.240962028503418,-8.240962028503418
-12.159143447875977,23400,0.0,-12.159143447875977,-12.159143447875977
-10.231188774108888,23416,0.0,-10.231188774108888,-10.231188774108888
-10.123966217041016,23420,0.0,-10.123966217041016,-10.123966217041016
-11.730460166931152,23552,0.0,-11.730460166931152,-11.730460166931152
-10.205526351928713,23624,0.0,-10.205526351928713,-10.205526351928713
-12.01386833190918,23872,0.0,-12.01386833190918,-12.01386833190918
-8.310876846313477,23936,0.0,-8.310876846313477,-8.310876846313477
-11.320661544799805,23996,0.0,-11.320661544799805,-11.320661544799805
-11.697678565979004,24648,0.0,-11.697678565979004,-11.697678565979004
-10.62375831604004,24780,0.0,-10.62375831604004,-10.62375831604004
-17.477317810058594,25284,0.0,-17.477317810058594,-17.477317810058594
-13.532526969909668,25308,0.0,-13.532526969909668,-13.532526969909668
-4.986385345458984,25440,0.0,-4.986385345458984,-4.986385345458984
-11.049169540405272,25472,0.0,-11.049169540405272,-11.049169540405272
-14.997758865356444,25572,0.0,-14.997758865356444,-14.997758865356444
-19.979904174804688,26064,0.0,-19.979904174804688,-19.979904174804688
-12.590970993041992,26344,0.0,-12.590970993041992,-12.590970993041992
-13.564088821411133,26404,0.0,-13.564088821411133,-13.564088821411133
-14.41761589050293,26600,0.0,-14.41761589050293,-14.41761589050293
-9.787906646728516,26976,0.0,-9.787906646728516,-9.787906646728516
-11.92581558227539,27144,0.0,-11.92581558227539,-11.92581558227539
-11.387964248657228,27248,0.0,-11.387964248657228,-11.387964248657228
-11.116559982299805,27480,0.0,-11.116559982299805,-11.116559982299805
-8.538403511047363,27600,0.0,-8.538403511047363,-8.538403511047363
-11.74033546447754,27728,0.0,-11.74033546447754,-11.74033546447754
-16.868656158447266,27880,0.0,-16.868656158447266,-16.868656158447266
-14.882318496704102,28040,0.0,-14.882318496704102,-14.882318496704102
-5.781013011932373,28044,0.0,-5.781013011932373,-5.781013011932373
-16.780292510986328,28184,0.0,-16.780292510986328,-16.780292510986328
-12.956979751586914,28496,0.0,-12.956979751586914,-12.956979751586914
-14.037086486816406,28708,0.0,-14.037086486816406,-14.037086486816406
-12.458316802978516,29196,0.0,-12.458316802978516,-12.458316802978516
-13.996459007263184,29396,0.0,-13.996459007263184,-13.996459007263184
-15.671069145202637,29800,0.0,-15.671069145202637,-15.671069145202637
