Wall time,Step,Value
1741344298.9654503,328,-9.955339431762695
1741344298.9914503,380,-5.64957332611084
1741344299.1404498,700,-14.067794799804688
1741344299.1617932,744,-14.500917434692383
1741344299.2437935,924,-12.811539649963379
1741344299.2517927,940,-13.420601844787598
1741344299.261792,964,-8.259302139282227
1741344299.3767934,1212,-10.78785228729248
1741344299.390826,1240,-12.373334884643555
1741344299.5247178,1544,-12.05798053741455
1741344299.5307174,1556,-16.088716506958008
1741344299.5863752,1676,-12.007625579833984
1741344299.7023835,1920,-9.91209602355957
1741344299.735378,1988,-11.71340560913086
1741344299.7373767,1992,-13.859818458557129
1741344299.8059297,2148,-15.350719451904297
1741344299.9315872,2420,-11.990327835083008
1741344299.9885845,2540,-6.961555004119873
1741344300.054524,2680,-10.852254867553711
1741344300.1588483,2872,-15.77366828918457
1741344300.2118416,2980,-11.938318252563477
1741344300.3074238,3164,-14.35421371459961
1741344300.3731592,3272,-11.420757293701172
1741344300.4847658,3464,-13.457578659057617
1741344300.491103,3472,-13.871227264404297
1741344300.6104834,3740,-12.124094009399414
1741344300.6531763,3828,-15.072429656982422
1741344300.6993403,3916,-16.691970825195312
1741344300.7602568,4036,-13.22038745880127
1741344300.929264,4372,-10.488143920898438
1741344301.0592194,4676,-17.49061393737793
1741344301.1781747,4936,-14.450346946716309
1741344301.2300532,5052,-14.7804536819458
1741344301.2530532,5092,-8.97518253326416
1741344301.3286643,5244,-5.938473224639893
1741344301.4056075,5412,-16.951255798339844
1741344301.4086075,5416,-13.602070808410645
1741344301.4946094,5592,-19.35479736328125
1741344301.555838,5728,-12.451128005981445
1741344301.6356747,5932,-10.262383460998535
1741344301.6506743,5960,-8.63680362701416
1741344301.736863,6164,-0.00039386749267578125
1741344301.7890544,6276,-10.833168029785156
1741344301.842919,6392,-13.947503089904785
1741344302.047866,6856,-14.571165084838867
1741344302.1085043,6960,-7.158117771148682
1741344302.1653223,7060,-17.50775146484375
1741344302.2813208,7328,-12.740599632263184
1741344302.2853205,7336,-14.796157836914062
1741344302.2863214,7336,-6.556559085845947
1741344302.4222531,7592,-14.935379981994629
1741344302.4547253,7664,-15.264410018920898
1741344302.4904735,7748,-13.246543884277344
1741344302.496472,7760,-10.62778377532959
1741344302.5514529,7884,-12.818849563598633
1741344302.5584533,7900,-7.758754730224609
1741344302.6080244,8016,-15.162530899047852
1741344302.6490126,8108,-12.337137222290039
1741344302.6816158,8172,-10.354910850524902
1741344304.5147588,8428,-12.288125038146973
1741344304.6299162,8692,-12.550941467285156
1741344304.7977495,9032,-7.677730083465576
1741344304.891746,9224,-11.574359893798828
1741344304.9613128,9376,-14.733559608459473
1741344305.2323058,9960,-14.330228805541992
1741344305.3593087,10236,-19.66330337524414
1741344305.4743059,10480,-18.073169708251953
1741344305.7251291,10912,-11.710082054138184
1741344305.7591298,10984,-11.94544792175293
1741344305.8613195,11196,-21.196680068969727
1741344305.9105494,11276,-8.867924690246582
1741344306.2450216,11912,-13.670965194702148
1741344306.2820194,11988,-6.310274124145508
1741344306.3811195,12172,-11.453811645507812
1741344306.3864164,12180,-15.579302787780762
1741344306.485925,12352,-14.212991714477539
1741344306.5242844,12420,-9.452962875366211
1741344306.5372827,12440,-3.8303639888763428
1741344306.8035624,12988,-10.994376182556152
1741344306.945984,13268,-13.438745498657227
1741344307.0309834,13428,-9.740447998046875
1741344307.0839317,13524,-12.396096229553223
1741344307.141606,13624,-10.114794731140137
1741344307.1576247,13652,-17.315126419067383
1741344307.2176256,13760,-14.33146858215332
1741344307.4008124,14108,-10.694997787475586
1741344307.431811,14164,-13.781486511230469
1741344307.502812,14292,-12.491079330444336
1741344307.6954641,14680,-11.065234184265137
1741344307.7904625,14864,-14.671817779541016
1741344307.81947,14916,-13.774471282958984
1741344307.8414667,14956,-14.417184829711914
1741344307.9490192,15164,-10.532054901123047
1741344308.031948,15328,-9.901756286621094
1741344308.1079454,15468,-11.620094299316406
1741344308.27376,15760,-10.510465621948242
1741344308.393926,15976,-14.928592681884766
1741344308.548026,16260,-8.051182746887207
1741344310.6702843,16468,-8.944294929504395
1741344310.8578563,16816,-11.422183990478516
1741344310.9524956,16964,-4.805959224700928
1741344311.3006437,17556,-13.263025283813477
1741344311.4371684,17808,-7.798946380615234
1741344311.5061772,17936,-15.593048095703125
1741344311.5817597,18068,-9.068061828613281
1741344311.717707,18312,-13.560638427734375
1741344311.8570383,18552,-10.19748306274414
1741344312.0258934,18836,-15.281946182250977
1741344312.0981548,18952,-15.893856048583984
1741344312.1701567,19084,-17.55601692199707
1741344312.329743,19368,-8.096696853637695
1741344312.444527,19576,-15.927176475524902
1741344312.449527,19584,-15.437698364257812
1741344312.5751808,19800,-9.00003433227539
1741344312.7251785,20072,-16.826461791992188
1741344312.8121805,20244,-11.900093078613281
1741344312.974858,20488,-14.807422637939453
1741344313.087115,20684,-10.98672103881836
1741344313.1541064,20800,-13.67437744140625
1741344313.4081814,21236,-12.12761402130127
1741344313.5151901,21416,-14.12759017944336
1741344313.5601811,21492,-15.033851623535156
1741344313.7225857,21768,-13.346782684326172
1741344313.7415721,21800,-13.796728134155273
1741344313.744574,21804,-14.406322479248047
1741344313.8809044,22048,-10.509810447692871
1741344314.0070786,22264,-14.783641815185547
1741344314.2832668,22696,-11.007797241210938
1741344314.3922668,22896,-2.528503179550171
1741344314.47539,23048,-8.751221656799316
1741344314.639133,23340,-4.278617858886719
1741344314.70113,23444,-9.0650053024292
1741344314.70113,23444,-8.332016944885254
1741344314.7788084,23580,-11.641857147216797
1741344314.8148084,23640,-14.864543914794922
1741344314.9768043,23920,-15.189899444580078
1741344314.987804,23940,-4.926609039306641
1741344315.0568042,24064,-11.859174728393555
1741344317.4820378,24608,-8.425891876220703
1741344317.6177056,24848,-11.186309814453125
1741344317.8996296,25364,-9.637687683105469
1741344317.9202187,25400,-11.029142379760742
1741344317.9532251,25456,-7.343941688537598
1741344317.961225,25472,-12.11697769165039
1741344318.0232253,25580,-11.990586280822754
1741344318.281234,26092,-16.01066017150879
1741344318.3792233,26268,-12.467545509338379
1741344318.4042244,26312,-5.86605167388916
1741344318.535824,26528,-7.49994421005249
1741344318.7868052,26952,-12.221662521362305
1741344318.8973253,27148,-13.987726211547852
1741344318.947482,27224,-9.631603240966797
1741344319.0754766,27440,-12.328557968139648
1741344319.1454763,27568,-11.759061813354492
1741344319.2344785,27744,-15.394166946411133
1741344319.3228984,27884,-15.603528022766113
1741344319.3868384,27996,-16.250770568847656
1741344319.3978386,28012,-6.4224138259887695
1741344319.4838407,28176,-10.092531204223633
1741344319.6498604,28464,-6.786776542663574
1741344319.7996788,28704,-6.714353084564209
1741344320.033781,29112,-15.699466705322266
1741344320.2043507,29380,-9.05875301361084
1741344320.405343,29744,-17.897907257080078
1741344320.467479,29840,-14.08691692352295
1741344320.699027,30240,-9.86674690246582
1741344320.7823458,30384,-8.271773338317871
1741344320.8488731,30492,-8.827901840209961
1741344320.9562838,30652,-1.9297618865966797
1741344320.984753,30692,-5.863463878631592
1741344321.0047684,30724,-12.23669147491455
1741344321.0367684,30780,-15.801523208618164
1741344321.2726648,31172,-14.057703971862793
1741344321.2786663,31180,-12.865791320800781
1741344321.2966657,31208,-7.193497657775879
1741344321.3760521,31328,-12.174599647521973
1741344321.4086046,31380,-8.969843864440918
1741344321.4605093,31468,-12.132027626037598
1741344321.5185096,31576,-9.257216453552246
1741344321.6655314,31832,-4.895868301391602
1741344321.6919425,31880,-14.822700500488281
1741344321.7589507,31992,-11.891059875488281
1741344321.9539695,32332,-9.752553939819336
1741344322.0529702,32504,-2.9507975578308105
1741344322.0818973,32544,-13.694652557373047
1741344322.161504,32652,-9.120645523071289
1741344324.3032618,32808,-2.5600032806396484
1741344324.3909326,32960,-12.530988693237305
1741344324.5490985,33228,-13.373111724853516
1741344324.6417003,33396,-8.801078796386719
1741344324.7766988,33660,-15.757156372070312
1741344324.8797793,33844,-14.243505477905273
1741344324.9684215,34012,-16.887733459472656
1741344325.040421,34148,-9.142390251159668
1741344325.0815616,34236,-16.494720458984375
1741344325.1965628,34460,-11.948860168457031
1741344325.5363278,35076,-16.206939697265625
1741344325.593714,35172,1.9064173698425293
1741344325.7682133,35460,-14.101408958435059
1741344325.9329245,35752,-16.604032516479492
1741344326.148902,36104,-16.283157348632812
1741344326.1639044,36128,-11.003259658813477
1741344326.317579,36404,-6.244279861450195
1741344326.3885787,36528,-14.328510284423828
1741344326.4344556,36596,-9.129176139831543
1741344326.5394254,36764,-7.75322961807251
1741344326.7492478,37120,-14.401063919067383
1741344326.916997,37372,-15.567182540893555
1741344327.0395162,37584,-14.348368644714355
1741344327.1226325,37740,-8.806580543518066
1741344327.4135613,38248,-17.912067413330078
1741344327.42256,38264,-11.753938674926758
1741344327.5115614,38408,-10.750136375427246
1741344327.5736723,38512,-11.742032051086426
1741344327.677673,38680,-9.55493450164795
1741344327.9202816,39080,-6.8776655197143555
1741344327.9492807,39136,-14.797616958618164
1741344327.9952793,39216,-11.507437705993652
1741344328.0573409,39324,-8.237929344177246
1741344328.1592822,39504,-11.330596923828125
1741344328.1942797,39560,-11.720451354980469
1741344328.1972778,39564,-13.99522590637207
1741344328.246282,39652,-12.385686874389648
1741344328.3449528,39816,-12.881074905395508
1741344328.447953,40000,-12.605829238891602
1741344328.515356,40120,-9.057347297668457
1741344328.651982,40352,-9.375921249389648
1741344328.6859844,40412,-13.599020004272461
1741344328.8983026,40772,-4.604259014129639
1741344328.991303,40928,-13.803506851196289
1741344331.3159711,41304,-9.63841438293457
1741344331.404637,41460,-3.30503511428833
1741344331.5237567,41664,-12.74803352355957
1741344331.526757,41668,-5.318698883056641
1741344331.7819884,42116,-8.057400703430176
1741344331.9803207,42480,-12.897547721862793
1741344332.220656,42964,-13.775644302368164
1741344332.3046556,43116,-12.967185020446777
1741344332.477656,43436,-14.042915344238281
1741344332.6026576,43652,-10.833892822265625
1741344332.7008514,43828,-5.421698570251465
1741344332.7937632,44000,-14.37942123413086
1741344333.1013997,44532,-8.267965316772461
1741344333.3474765,44940,-11.551523208618164
1741344333.7690215,45668,-9.738836288452148
1741344333.7870202,45704,-11.460972785949707
1741344333.9256845,45952,-9.344294548034668
1741344334.2816265,46588,-10.174541473388672
1741344334.3116257,46640,-10.840794563293457
1741344334.4436252,46860,-9.396804809570312
1741344334.5136256,46984,-2.4084248542785645
1741344334.9209924,47692,-11.441558837890625
1741344334.9649956,47764,-13.56521224975586
1741344334.9829943,47796,-8.387372016906738
1741344335.0173404,47852,-12.697277069091797
1741344335.0517602,47904,-15.613819122314453
1741344335.0767603,47940,-6.611817359924316
1741344335.1127594,48000,-14.40008544921875
1741344335.1647596,48092,-10.908668518066406
1741344335.22076,48192,-10.2886962890625
1741344335.4200437,48544,-11.554231643676758
1741344335.4530437,48608,-13.771339416503906
1741344335.5365481,48732,-3.645982265472412
1741344335.6309514,48880,-12.564657211303711
1741344337.9111323,49216,-14.30866527557373
1741344338.2723148,49896,-11.403393745422363
1741344338.2873173,49924,-13.325641632080078
1741344338.390317,50100,-9.097174644470215
1741344338.4363148,50188,-9.834393501281738
1741344338.497317,50296,-13.962614059448242
1741344338.5980842,50468,-10.87411117553711
1741344338.6571462,50576,-7.997678756713867
1741344338.670145,50596,-10.092045783996582
1741344338.7101436,50676,-12.219337463378906
1741344338.7651446,50776,-15.5765380859375
1741344338.8992658,51004,-12.664549827575684
1741344338.9303627,51060,-8.1320219039917
1741344339.0399995,51228,-13.50971794128418
1741344339.1517487,51412,-12.992023468017578
1741344339.2392263,51572,-12.403119087219238
1741344339.2699554,51632,-11.184720993041992
1741344339.6387484,52284,-11.558006286621094
1741344339.6977487,52384,-11.889063835144043
1741344339.7407484,52460,-10.406440734863281
1741344339.8067558,52564,-9.33145523071289
1741344339.9329698,52784,-11.685598373413086
1741344339.9499717,52808,-11.56447696685791
1741344340.0169718,52924,-11.794317245483398
1741344340.0199716,52928,-11.682943344116211
1741344340.1483266,53144,-3.9064273834228516
1741344340.2121298,53248,-11.324113845825195
1741344340.27398,53352,-13.320982933044434
1741344340.3489788,53480,-8.45173168182373
1741344340.4599771,53680,-13.412250518798828
1741344340.5389776,53812,-4.590798854827881
1741344340.778815,54224,-13.031633377075195
1741344340.857817,54360,-14.898494720458984
1741344340.8728168,54388,-12.162227630615234
1741344340.899815,54436,-11.681709289550781
1741344341.2540858,55008,-8.497406959533691
1741344341.336377,55140,-10.842033386230469
1741344341.6432226,55632,-10.458520889282227
1741344341.7311666,55780,-7.622477054595947
1741344341.826242,55928,-7.69843864440918
1741344341.9552286,56132,-15.093339920043945
1741344342.0432293,56276,-9.565629959106445
1741344342.0822308,56336,-11.837610244750977
1741344342.0922303,56352,-9.974769592285156
1741344342.3047597,56692,-12.884293556213379
1741344342.3307598,56736,-11.818584442138672
1741344342.4248228,56892,-6.7439069747924805
1741344342.5418792,57088,-16.584487915039062
1741344342.6044316,57188,-12.499822616577148
1741344344.6834693,57380,-13.783926010131836
1741344344.6975746,57408,-13.683290481567383
1741344344.741573,57500,-8.963571548461914
1741344344.752573,57516,-9.139257431030273
1741344344.8519652,57692,-3.9156854152679443
1741344344.911151,57800,-5.107234001159668
1741344344.9857814,57932,-20.0808162689209
1741344345.0387864,58028,-15.048847198486328
1741344345.059782,58068,-14.575185775756836
1741344345.1579194,58244,-8.815149307250977
1741344345.189172,58304,-12.541521072387695
1741344345.1981688,58316,-3.4442710876464844
1741344345.2491648,58416,-12.430745124816895
1741344345.2631629,58440,-13.281715393066406
1741344345.3269207,58556,-5.958851337432861
1741344345.4069207,58716,-12.970760345458984
1741344345.491259,58872,-2.6127190589904785
1741344345.5678089,59020,-4.042595863342285
1741344345.8083022,59468,-12.795707702636719
1741344345.871301,59580,-13.820501327514648
1741344345.9953415,59780,-11.460615158081055
1741344346.0033407,59792,-18.11362075805664
1741344346.0688004,59892,-19.063697814941406
1741344346.1428003,60000,-10.003849029541016
1741344346.1688006,60044,-11.53453254699707
1741344346.216453,60140,-12.293023109436035
