Wall time,Step,Value
1741166037.1830225,384,-16.17072868347168
1741166037.245016,548,-13.756776809692383
1741166037.3885674,900,-16.27812957763672
1741166037.427574,1000,-13.552356719970703
1741166037.5495749,1320,-21.2530574798584
1741166037.56957,1372,-15.30793285369873
1741166037.5745761,1384,-11.641066551208496
1741166037.6755748,1648,-15.88296890258789
1741166037.7272072,1776,-17.712156295776367
1741166037.8792334,2172,-16.01604461669922
1741166037.9152331,2268,-18.213266372680664
1741166037.977232,2428,-11.254311561584473
1741166038.131674,2836,-16.78934097290039
1741166038.1706822,2940,-11.441012382507324
1741166038.1726758,2944,-12.355928421020508
1741166038.287675,3248,-13.46872329711914
1741166038.482083,3748,-12.971317291259766
1741166038.4890761,3764,-15.367290496826172
1741166038.5240855,3856,-15.990127563476562
1741166038.5870852,4012,-10.810914993286133
1741166038.7108717,4312,-17.107868194580078
1741166038.7734005,4472,-14.344182968139648
1741166038.8263917,4612,-15.28615951538086
1741166038.8753915,4740,-15.533161163330078
1741166038.9733908,5000,-10.352901458740234
1741166039.0690258,5248,-8.130029678344727
1741166039.0960267,5320,-19.777090072631836
1741166039.2612605,5748,-16.626319885253906
1741166039.3548527,6000,-14.617265701293945
1741166039.371845,6044,-15.690582275390625
1741166039.4738467,6308,-7.248229503631592
1741166039.5508454,6512,-14.566262245178223
1741166039.6518452,6776,-21.1558780670166
1741166039.7548058,7048,-14.22276782989502
1741166039.8820734,7384,-14.875791549682617
1741166039.9180732,7480,-13.945561408996582
1741166039.9460733,7552,-17.116220474243164
1741166040.0330737,7776,-13.120500564575195
1741166040.0740736,7884,-13.929513931274414
1741166040.0930731,7932,-17.11874008178711
1741166040.193074,8192,-16.27129554748535
1741166042.4215815,8492,-13.848244667053223
1741166042.5045774,8704,-23.631771087646484
1741166042.5065773,8708,-14.782308578491211
1741166042.6235776,8996,-19.364700317382812
1741166042.7163424,9232,-13.440837860107422
1741166042.7743337,9380,-23.216075897216797
1741166043.0814316,10172,-10.27653694152832
1741166043.1134295,10244,-15.476957321166992
1741166043.2054284,10484,-21.253442764282227
1741166043.369974,10896,-17.48980712890625
1741166043.3819792,10928,-13.83827018737793
1741166043.3959734,10960,-11.347394943237305
1741166043.61587,11468,-14.100900650024414
1741166043.6428714,11540,-15.367557525634766
1741166043.6548717,11568,-15.489419937133789
1741166043.677481,11616,-11.000696182250977
1741166043.7514813,11808,-17.65781021118164
1741166043.8354836,12012,-14.102987289428711
1741166043.8414822,12024,-16.41538429260254
1741166043.8804805,12104,-14.856962203979492
1741166043.9374807,12232,-10.7203369140625
1741166043.9664805,12288,-21.846664428710938
1741166044.0574825,12516,-15.605975151062012
1741166044.154491,12740,-15.121570587158203
1741166044.373162,13244,-16.93613052368164
1741166044.637159,13788,-15.509479522705078
1741166044.7338595,13976,-12.631841659545898
1741166044.848855,14236,-15.114654541015625
1741166044.9108539,14372,-14.978307723999023
1741166045.3675385,15328,-9.284701347351074
1741166045.4795392,15568,-12.569976806640625
1741166045.6365385,15880,-17.94926643371582
1741166048.3791547,16436,-19.049785614013672
1741166048.4811568,16676,-19.67455291748047
1741166048.5681612,16856,-14.80627155303955
1741166048.6151557,16952,-8.740180969238281
1741166048.730741,17196,-20.145748138427734
1741166049.1217418,18076,-15.346977233886719
1741166049.1615787,18144,-14.732229232788086
1741166049.2245789,18260,-18.187946319580078
1741166049.4011497,18660,-24.690135955810547
1741166049.4231496,18700,-19.60686492919922
1741166049.6066551,19036,-14.861422538757324
1741166049.6746545,19176,-19.326955795288086
1741166049.7082446,19236,-32.70114517211914
1741166050.0172446,19920,-20.544876098632812
1741166050.2430203,20348,-16.817119598388672
1741166050.431602,20720,-14.565506935119629
1741166050.471601,20792,-13.345518112182617
1741166050.531602,20896,-13.956659317016602
1741166050.5907457,21000,-12.64879035949707
1741166050.6784387,21180,-19.793869018554688
1741166050.9634464,21748,-19.71888542175293
1741166051.0541937,21936,-18.643566131591797
1741166051.2420003,22276,-15.791166305541992
1741166051.4278882,22652,-8.061983108520508
1741166051.4878883,22764,-14.258052825927734
1741166051.5788944,22944,-13.701314926147461
1741166051.6118875,23016,-12.541772842407227
1741166051.6428883,23072,-20.406173706054688
1741166051.818867,23400,-18.064260482788086
