Wall time,Step,Value
1741229624.2430103,292,-14.079021453857422
1741229624.2922137,372,-15.033655166625977
1741229624.511046,700,-14.664053916931152
1741229624.5260453,724,-14.658882141113281
1741229624.620495,872,-7.474726676940918
1741229624.6355371,896,-18.495845794677734
1741229624.6575387,932,-11.323070526123047
1741229624.74374,1068,-13.565923690795898
1741229624.793737,1148,-13.351754188537598
1741229624.9291859,1372,-15.43423080444336
1741229624.9842176,1464,-15.7103853225708
1741229625.039214,1544,-12.825736999511719
1741229625.1678565,1752,-14.627431869506836
1741229625.1898987,1784,-8.661758422851562
1741229625.2079418,1816,-18.30280303955078
1741229625.3329186,2016,-9.34792709350586
1741229625.5722513,2392,-8.798929214477539
1741229625.66953,2548,-10.904064178466797
1741229625.7400606,2656,-8.040545463562012
1741229625.855615,2840,-16.7127685546875
1741229625.8966062,2904,-13.99774169921875
1741229626.0315053,3124,-13.523353576660156
1741229626.0993223,3232,-13.363816261291504
1741229626.2122104,3420,-12.85264778137207
1741229626.2242038,3440,-10.764730453491211
1741229626.391552,3712,-12.227865219116211
1741229626.4606469,3828,-17.117982864379883
1741229626.473411,3848,-10.150139808654785
1741229626.5395179,3956,-14.24488639831543
1741229626.6660883,4148,-14.25346565246582
1741229626.7897515,4344,-11.095040321350098
1741229626.9032712,4532,-12.01196575164795
1741229627.0188503,4716,-12.132791519165039
1741229627.0978367,4844,-15.844850540161133
1741229627.1084526,4860,-7.12039852142334
1741229627.1953566,5004,-10.473313331604004
1741229627.2744646,5140,-19.325830459594727
1741229627.2935026,5172,-4.613763332366943
1741229627.3807926,5312,-8.61860466003418
1741229627.5265,5520,-17.900297164916992
1741229627.6205373,5672,-10.624469757080078
1741229627.6345444,5696,-14.745128631591797
1741229627.7239685,5836,-16.803590774536133
1741229627.8368714,6024,-3.6774816513061523
1741229627.9322882,6180,-17.026470184326172
1741229628.2282352,6656,-10.748745918273926
1741229628.2628083,6712,-12.657390594482422
1741229628.363626,6876,-11.830632209777832
1741229628.518854,7136,-14.3174467086792
1741229628.5258553,7148,-6.020289897918701
1741229628.5648487,7216,-13.740440368652344
1741229628.8091362,7620,-15.798256874084473
1741229628.8231995,7640,-6.6432881355285645
1741229628.8591394,7700,-11.500774383544922
1741229628.895822,7760,-13.010869026184082
1741229628.965619,7876,-11.446342468261719
1741229628.9846165,7904,-1.7018685340881348
1741229629.0286164,7976,-10.325601577758789
1741229629.089617,8076,-6.806918621063232
1741229629.108611,8108,-13.459470748901367
1741229631.1531422,8320,-10.91856861114502
1741229631.353033,8592,-10.398581504821777
1741229631.6671262,9012,-15.304159164428711
1741229631.7910104,9172,-11.852499008178711
1741229631.8795624,9292,-8.617325782775879
1741229632.2990577,9860,-11.08248233795166
1741229632.4204683,10020,-8.280038833618164
1741229632.6049454,10276,-14.740130424499512
1741229632.9010596,10648,-4.62454080581665
1741229632.9581244,10716,-14.206208229064941
1741229633.0991907,10892,-7.513376235961914
1741229633.186054,11008,-14.84245491027832
1741229633.3777015,11272,-14.403680801391602
1741229633.7185342,11712,-10.844134330749512
1741229633.7275887,11724,-11.123764991760254
1741229633.7356145,11736,-10.211992263793945
1741229633.9346395,11992,-10.554162979125977
1741229633.9536364,12012,-3.750547170639038
1741229634.1093135,12224,-10.149724006652832
1741229634.1620302,12292,-10.442916870117188
1741229634.2343946,12380,-13.978797912597656
1741229634.538687,12776,-13.779544830322266
1741229634.853621,13188,-11.338361740112305
1741229635.0253773,13416,-8.656477928161621
1741229635.1044219,13528,-13.185258865356445
1741229635.131434,13560,-10.644143104553223
1741229635.2153265,13660,-15.230386734008789
1741229635.2314336,13680,-16.62167739868164
1741229635.5286684,14060,-12.33536148071289
1741229635.6202195,14176,-14.111883163452148
1741229635.718438,14300,-10.908807754516602
1741229636.0299675,14680,-13.402658462524414
1741229636.2000554,14896,-13.492595672607422
1741229636.2040508,14900,-11.366111755371094
1741229636.24284,14952,-7.192931175231934
1741229636.3966212,15144,-5.420104503631592
1741229636.497553,15272,-13.893421173095703
1741229636.6577308,15472,-12.180405616760254
1741229636.8567479,15724,-11.411304473876953
1741229637.0554435,15984,-8.778578758239746
1741229637.2696052,16260,-16.08932113647461
1741229639.3521526,16440,-10.875869750976562
1741229639.37016,16468,-11.447460174560547
1741229639.5631337,16732,-12.120643615722656
1741229639.6470294,16848,-10.177067756652832
1741229640.0883725,17436,-13.63694953918457
1741229640.2623544,17676,-12.144046783447266
1741229640.3630157,17816,-10.176151275634766
1741229640.4380705,17924,-12.186023712158203
1741229640.5557075,18072,-11.930578231811523
1741229640.769864,18368,-13.778739929199219
1741229641.0040238,18664,-13.685980796813965
1741229641.1341853,18828,-10.297986030578613
1741229641.2203538,18940,-13.203532218933105
1741229641.4896889,19280,-16.542444229125977
